Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771062373528,4,4,4,4,4,4,4,4,4,4,4,4,4,4,60.482051849365234,60.913368225097656,61.75,64.5,62.23945236206055,64.31326293945313,63.56243133544922,59.64268112182617,61.21763229370117,59.88884353637695,60.42149353027344,61.21144104003906,100,0,0,0,0,0,0,0,0,0,100,NaN,NaN,0,20.63534927368164,38654705664,0,20989886464,0
201,1771062373528,4,4,4,4,4,4,4,4,4,4,4,4,4,4,60.482051849365234,60.913368225097656,61.75,64.5,62.23945236206055,64.31326293945313,63.56243133544922,59.64268112182617,61.21763229370117,59.88884353637695,60.42149353027344,61.21144104003906,0,0,0,0,0,0,0,0,0,0,NaN,0,50,0,20.63534927368164,38654705664,0,20990623744,0
201,1771062373730,4,4,4,4,4,4,4,4,4,4,4,4,4,4,60.482051849365234,60.913368225097656,61.75,64.5,62.23945236206055,64.31326293945313,63.56243133544922,59.64268112182617,61.21763229370117,59.88884353637695,60.42149353027344,61.21144104003906,20,11.111111640930176,0,0,0,0,10,5,21.052631378173828,4.761904716491699,13.636363983154297,66.66667175292969,5,0,20.63534927368164,38654705664,0,20990623744,0
204,1771062373932,4,4,4,4,4,4,4,4,4,4,4,4,4,4,60.482051849365234,60.913368225097656,61.75,64.5,62.23945236206055,64.31326293945313,63.56243133544922,59.64268112182617,61.21763229370117,59.88884353637695,60.42149353027344,61.21144104003906,38.88888931274414,28.571430206298828,4.761904716491699,0,5,4.761904716491699,28.571430206298828,28.571430206298828,47.619049072265625,30.000001907348633,26.3157901763916,15.000000953674316,30.000001907348633,0,21.41136360168457,38654705664,0,20990623744,0
204,1771062374137,4,4,4,4,4,4,4,4,4,4,4,4,4,4,60.482051849365234,60.913368225097656,61.75,64.5,62.23945236206055,64.31326293945313,63.56243133544922,59.64268112182617,61.21763229370117,59.88884353637695,60.42149353027344,61.21144104003906,28.571430206298828,20,0,0,0,0,10,10,20,20,23.809524536132813,15.000000953674316,14.285715103149414,0,21.41136360168457,38654705664,0,20990623744,0
202,1771062374342,4,4,4,4,4,4,4,4,4,4,4,4,4,4,60.482051849365234,60.913368225097656,61.75,64.5,62.23945236206055,64.31326293945313,63.56243133544922,59.64268112182617,61.21763229370117,59.88884353637695,60.42149353027344,61.21144104003906,40,33.333335876464844,0,0,0,0,20,10,14.285715103149414,33.333335876464844,10,5,15.000000953674316,0,21.41136360168457,38654705664,0,21496266752,0
204,1771062374545,4,4,4,4,4,4,4,4,4,4,4,4,4,4,59.714412689208984,60.94797897338867,61.75,64.5,61.29853057861328,62.97145462036133,62.3820915222168,60.861976623535156,62.92192077636719,60.18326950073242,59.7757453918457,60.77770233154297,30.000001907348633,20,4.761904716491699,0,0,0,10.526315689086914,10,45,26.3157901763916,55,28.571430206298828,40,4.761904716491699,21.41136360168457,38654705664,0,21492301824,0
204,1771062374749,4,4,4,4,4,4,4,4,4,4,4,4,4,4,59.714412689208984,60.94797897338867,61.75,64.5,61.29853057861328,62.97145462036133,62.3820915222168,60.861976623535156,62.92192077636719,60.18326950073242,59.7757453918457,60.77770233154297,35,25,0,0,0,0,15.000000953674316,10,42.105262756347656,35,30.000001907348633,30.000001907348633,47.36842346191406,5,21.41136360168457,38654705664,0,21492301824,0
199,1771062374953,4,4,4,4,4,4,4,4,4,4,4,4,4,4,59.714412689208984,60.94797897338867,61.75,64.5,61.29853057861328,62.97145462036133,62.3820915222168,60.861976623535156,62.92192077636719,60.18326950073242,59.7757453918457,60.77770233154297,31.57894515991211,25,25,28.571430206298828,25,20,19.047618865966797,10,14.285715103149414,20,14.285715103149414,15.000000953674316,14.285715103149414,38.095237731933594,22.19756507873535,38654705664,0,21492301824,0
204,1771062375153,4,4,4,4,4,4,4,4,4,4,4,4,4,4,59.714412689208984,60.94797897338867,61.75,64.5,61.29853057861328,62.97145462036133,62.3820915222168,60.861976623535156,62.92192077636719,60.18326950073242,59.7757453918457,60.77770233154297,35,22.22222328186035,50,31.57894515991211,36.842105865478516,42.105262756347656,20,15.000000953674316,0,0,0,0,0,26.3157901763916,22.19756507873535,38654705664,0,21492301824,0
204,1771062375358,4,4,4,4,4,4,4,4,4,4,4,4,4,4,59.714412689208984,60.94797897338867,61.75,64.5,61.29853057861328,62.97145462036133,62.3820915222168,60.861976623535156,62.92192077636719,60.18326950073242,59.7757453918457,60.77770233154297,35,28.571430206298828,30.000001907348633,40,30.000001907348633,47.619049072265625,20,14.285715103149414,4.761904716491699,0,0,0,0,45,22.19756507873535,38654705664,0,21477588992,0
204,1771062375563,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,61.75,64.5,40,1.5,1.5,1.5,1.5,1.5,40,1.5,30.000001907348633,25,25,45,45,31.57894515991211,15.000000953674316,10,0,8.69565200805664,0,0,0,40,22.19756507873535,38654705664,0,21477359616,0
204,1771062375768,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,61.75,64.5,40,1.5,1.5,1.5,1.5,1.5,40,1.5,25,15.000000953674316,40,28.571430206298828,42.85714340209961,38.095237731933594,10,5,9.090909004211426,0,4.761904716491699,0,4.761904716491699,38.095237731933594,22.19756507873535,38654705664,0,21477113856,0
203,1771062375973,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,61.75,64.5,40,1.5,1.5,1.5,1.5,1.5,40,1.5,30.000001907348633,20,45,45,23.809524536132813,40,14.285715103149414,9.523809432983398,0,0,0,0,0,35,29.080047607421875,38654705664,0,21464645632,0
202,1771062376177,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,61.75,64.5,40,1.5,1.5,1.5,1.5,1.5,40,1.5,21.052631378173828,20,40,30.000001907348633,31.57894515991211,45,10,5,0,0,4.761904716491699,0,0,35,29.080047607421875,38654705664,0,21467250688,0
204,1771062376380,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,35,21.052631378173828,35,35,45,33.333335876464844,10.526315689086914,10.526315689086914,0,0,0,4.761904716491699,4.761904716491699,45,29.080047607421875,38654705664,0,21468561408,0
201,1771062376585,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,25,19.047618865966797,23.809524536132813,47.619049072265625,52.38095474243164,30.000001907348633,14.285715103149414,9.523809432983398,9.090909004211426,0,0,0,0,30.000001907348633,29.080047607421875,38654705664,0,21468708864,0
201,1771062376787,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,35,30.000001907348633,30.000001907348633,50,40,42.105262756347656,20,15.000000953674316,0,9.523809432983398,0,5,0,30.000001907348633,29.080047607421875,38654705664,0,21829419008,0
202,1771062376988,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,26.3157901763916,25,35,31.57894515991211,31.57894515991211,35,15.789472579956055,10,5,0,0,0,0,45,36.0579948425293,38654705664,0,21821521920,0
204,1771062377191,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,25,15.789472579956055,55,23.809524536132813,30.000001907348633,35,14.285715103149414,5,0,0,0,0,0,40,36.0579948425293,38654705664,0,21821521920,0
201,1771062377396,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,25,20,25,47.36842346191406,47.619049072265625,30.000001907348633,10,9.523809432983398,4.761904716491699,0,0,0,0,40,36.0579948425293,38654705664,0,21824487424,0
204,1771062377597,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,26.3157901763916,20,42.105262756347656,35,31.57894515991211,42.105262756347656,10,5,0,0,5,4.761904716491699,0,25,36.0579948425293,38654705664,0,21824700416,0
204,1771062377802,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,33.333335876464844,20,25,38.095237731933594,38.095237731933594,38.095237731933594,20,10,0,4.761904716491699,0,0,0,50,36.0579948425293,38654705664,0,21822423040,0
201,1771062378007,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,31.57894515991211,25,38.095237731933594,35,35,45,15.000000953674316,10,9.523809432983398,0,4.761904716491699,0,0,35,35.68907165527344,38654705664,0,21793587200,0
202,1771062378209,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,26.3157901763916,20,50,42.105262756347656,35,38.095237731933594,10.526315689086914,5,0,5,4.761904716491699,0,0,30.000001907348633,35.68907165527344,38654705664,0,21796257792,0
202,1771062378412,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,30.000001907348633,20,15.000000953674316,19.047618865966797,15.000000953674316,0,14.285715103149414,10,20,15.000000953674316,25,30.000001907348633,20,14.285715103149414,35.68907165527344,38654705664,0,21801025536,0
202,1771062378615,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,30.000001907348633,15.789472579956055,0,0,0,4.761904716491699,15.000000953674316,10,35,28.571430206298828,42.105262756347656,35,45,5,35.68907165527344,38654705664,0,21804761088,0
204,1771062378817,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,21.052631378173828,20,9.090909004211426,0,0,0,10,9.523809432983398,42.105262756347656,31.57894515991211,35,40,38.095237731933594,0,35.68907165527344,38654705664,0,21805531136,0
200,1771062379022,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,14.285715103149414,0,0,0,0,5,0,52.38095474243164,25,40,35,26.3157901763916,4.761904716491699,35.18798828125,38654705664,0,21802893312,0
204,1771062379222,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,25,26.3157901763916,0,4.761904716491699,4.761904716491699,0,25,10,31.57894515991211,40,25,33.333335876464844,40,4.761904716491699,35.18798828125,38654705664,0,21802893312,0
201,1771062379426,4,4,4,4,4,4,4,4,4,4,4,4,4,4,62.82518768310547,66.22404479980469,63.84375,66.828125,65.76500701904297,67.98649597167969,65.81285858154297,64.9046630859375,67.1142807006836,64.91864013671875,64.13467407226563,65.5627670288086,23.809524536132813,14.285715103149414,5.263157844543457,5,0,9.523809432983398,14.285715103149414,4.761904716491699,33.333335876464844,30.000001907348633,38.095237731933594,52.6315803527832,45,0,35.18798828125,38654705664,0,21760851968,0
202,1771062379628,4,4,4,4,4,4,4,4,4,4,4,4,4,4,62.82518768310547,66.22404479980469,63.84375,66.828125,65.76500701904297,67.98649597167969,65.81285858154297,64.9046630859375,67.1142807006836,64.91864013671875,64.13467407226563,65.5627670288086,11.111111640930176,5.263157844543457,4.761904716491699,0,0,0,0,5,35,35,25,20,20,10,35.18798828125,38654705664,0,22132031488,0
201,1771062379830,4,4,4,4,4,4,4,4,4,4,4,4,4,4,62.82518768310547,66.22404479980469,63.84375,66.828125,65.76500701904297,67.98649597167969,65.81285858154297,64.9046630859375,67.1142807006836,64.91864013671875,64.13467407226563,65.5627670288086,20,10,0,0,0,0,5,0,5.263157844543457,47.36842346191406,26.3157901763916,10.526315689086914,23.809524536132813,0,35.18798828125,38654705664,0,22145695744,0
204,1771062380032,4,4,4,4,4,4,4,4,4,4,4,4,4,4,62.82518768310547,66.22404479980469,63.84375,66.828125,65.76500701904297,67.98649597167969,65.81285858154297,64.9046630859375,67.1142807006836,64.91864013671875,64.13467407226563,65.5627670288086,21.052631378173828,10.526315689086914,0,0,0,0,5,4.761904716491699,25,25,25,28.571430206298828,21.052631378173828,4.761904716491699,35.57804870605469,38654705664,0,21981364224,0
203,1771062380237,4,4,4,4,4,4,4,4,4,4,4,4,4,4,62.82518768310547,66.22404479980469,63.84375,66.828125,65.76500701904297,67.98649597167969,65.81285858154297,64.9046630859375,67.1142807006836,64.91864013671875,64.13467407226563,65.5627670288086,23.809524536132813,14.285715103149414,0,0,4.761904716491699,0,4.761904716491699,0,25,25,20,25,25,0,35.57804870605469,38654705664,0,21981364224,0
201,1771062380441,4,4,4,4,4,4,4,4,4,4,4,4,4,4,63.024803161621094,63.038726806640625,63.375,66.828125,63.57688903808594,65.27084350585938,66.14781951904297,62.86775207519531,64.70404052734375,62.41482925415039,62.52377700805664,63.62818145751953,15.789472579956055,10.526315689086914,0,4.761904716491699,0,0,5,0,23.809524536132813,23.809524536132813,25,23.809524536132813,25,4.761904716491699,35.57804870605469,38654705664,0,21957967872,0
200,1771062380642,4,4,4,4,4,4,4,4,4,4,4,4,4,4,63.024803161621094,63.038726806640625,63.375,66.828125,63.57688903808594,65.27084350585938,66.14781951904297,62.86775207519531,64.70404052734375,62.41482925415039,62.52377700805664,63.62818145751953,21.052631378173828,10,9.523809432983398,0,0,0,0,0,26.3157901763916,25,25,21.052631378173828,21.052631378173828,0,35.57804870605469,38654705664,0,21919416320,0
