Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771063132627,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,40,40,1.5,40,40,40,40,40,1.5,1.5,0,50,0,0,0,100,0,0,0,0,0,0,0,0,16.5262451171875,38654705664,0,20347600896,0
203,1771063132628,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,40,40,1.5,40,40,40,40,40,1.5,1.5,NaN,NaN,0,0,0,100,0,0,0,0,0,0,0,0,16.5262451171875,38654705664,0,20348600320,0
204,1771063132831,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,40,40,1.5,40,40,40,40,40,1.5,1.5,10,10,19.047618865966797,5,45.45454788208008,25,5,0,0,0,0,0,0,45,16.5262451171875,38654705664,0,20390723584,0
204,1771063133036,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,40,40,1.5,40,40,40,40,40,1.5,1.5,20,14.285715103149414,28.571430206298828,15.000000953674316,10.526315689086914,4.761904716491699,14.285715103149414,9.523809432983398,0,0,0,0,0,45,16.89303970336914,38654705664,0,20630650880,0
203,1771063133241,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,40,40,1.5,40,40,40,40,40,1.5,1.5,20,10,5.263157844543457,25,36.3636360168457,45,5,4.761904716491699,0,0,0,4.761904716491699,0,25,16.89303970336914,38654705664,0,20884389888,0
204,1771063133445,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,15.000000953674316,30.000001907348633,38.095237731933594,57.894737243652344,40,9.523809432983398,5,9.090909004211426,9.090909004211426,4.761904716491699,0,0,35,16.89303970336914,38654705664,0,20844363776,0
200,1771063133650,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,5.263157844543457,42.85714340209961,30.000001907348633,35,36.842105865478516,5,0,0,0,0,0,0,45,16.89303970336914,38654705664,0,20805959680,0
201,1771063133850,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,26.3157901763916,19.047618865966797,10,5,5,9.523809432983398,5.263157844543457,5.263157844543457,42.105262756347656,26.3157901763916,25,42.105262756347656,35,9.523809432983398,16.89303970336914,38654705664,0,20391067648,0
200,1771063134051,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,10.526315689086914,0,0,0,0,9.523809432983398,5,50,30.000001907348633,25,50,35,0,19.061500549316406,38654705664,0,20294991872,0
203,1771063134252,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,14.285715103149414,0,0,0,4.761904716491699,0,0,35,40,52.6315803527832,19.047618865966797,36.842105865478516,0,19.061500549316406,38654705664,0,20434894848,0
201,1771063134455,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,10,9.090909004211426,4.761904716491699,0,0,4.761904716491699,9.090909004211426,40,36.842105865478516,55,36.842105865478516,38.095237731933594,9.523809432983398,19.061500549316406,38654705664,0,20437188608,0
202,1771063134657,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.789472579956055,10.526315689086914,0,0,4.761904716491699,0,5.263157844543457,0,30.000001907348633,35,47.619049072265625,45,31.57894515991211,0,19.061500549316406,38654705664,0,20437270528,0
200,1771063134860,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,21.052631378173828,15.000000953674316,0,4.761904716491699,0,0,5,5,40,52.38095474243164,26.3157901763916,35,35,4.761904716491699,19.061500549316406,38654705664,0,20430651392,0
200,1771063135061,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,15.000000953674316,0,0,0,0,9.523809432983398,0,31.57894515991211,36.842105865478516,35,40,40,0,29.126842498779297,38654705664,0,20344471552,0
204,1771063135261,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,26.3157901763916,10.526315689086914,5,0,4.761904716491699,0,5.263157844543457,5,42.85714340209961,35,40,45,35,5,29.126842498779297,38654705664,0,20356907008,0
201,1771063135466,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.58013153076172,68.0922622680664,65.453125,69.140625,66.97169494628906,68.9745864868164,69.02894592285156,67.07537841796875,69.46349334716797,66.85548400878906,65.31903076171875,66.4646224975586,20,14.285715103149414,4.761904716491699,0,0,0,5,9.523809432983398,36.842105865478516,30.000001907348633,40,33.333335876464844,50,4.761904716491699,29.126842498779297,38654705664,0,20353712128,0
202,1771063135668,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.58013153076172,68.0922622680664,65.453125,69.140625,66.97169494628906,68.9745864868164,69.02894592285156,67.07537841796875,69.46349334716797,66.85548400878906,65.31903076171875,66.4646224975586,20,5.263157844543457,0,0,0,0,9.523809432983398,0,33.333335876464844,28.571430206298828,45,36.842105865478516,45,0,29.126842498779297,38654705664,0,20338933760,0
200,1771063135870,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.58013153076172,68.0922622680664,65.453125,69.140625,66.97169494628906,68.9745864868164,69.02894592285156,67.07537841796875,69.46349334716797,66.85548400878906,65.31903076171875,66.4646224975586,21.052631378173828,15.000000953674316,0,0,0,0,5.263157844543457,5,45,42.105262756347656,31.57894515991211,45,30.000001907348633,0,33.230010986328125,38654705664,0,20337704960,0
204,1771063136070,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.58013153076172,68.0922622680664,65.453125,69.140625,66.97169494628906,68.9745864868164,69.02894592285156,67.07537841796875,69.46349334716797,66.85548400878906,65.31903076171875,66.4646224975586,20,15.000000953674316,0,4.761904716491699,0,0,9.523809432983398,5,35,57.894737243652344,30.000001907348633,30.000001907348633,31.57894515991211,9.523809432983398,33.230010986328125,38654705664,0,20273594368,0
201,1771063136275,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.58013153076172,68.0922622680664,65.453125,69.140625,66.97169494628906,68.9745864868164,69.02894592285156,67.07537841796875,69.46349334716797,66.85548400878906,65.31903076171875,66.4646224975586,20,5.263157844543457,0,0,0,4.761904716491699,5,4.761904716491699,40,42.85714340209961,52.38095474243164,26.3157901763916,30.000001907348633,0,33.230010986328125,38654705664,0,20279541760,0
202,1771063136476,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.45188903808594,67.35951232910156,66.15625,69.375,68.13672637939453,70.42210388183594,70.15750122070313,66.70545959472656,68.96946716308594,66.36769104003906,66.18253326416016,67.3598861694336,20,10,4.761904716491699,0,0,0,5,0,36.842105865478516,31.57894515991211,25,47.619049072265625,45,0,33.230010986328125,38654705664,0,20287569920,0
200,1771063136679,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.45188903808594,67.35951232910156,66.15625,69.375,68.13672637939453,70.42210388183594,70.15750122070313,66.70545959472656,68.96946716308594,66.36769104003906,66.18253326416016,67.3598861694336,15.789472579956055,14.285715103149414,0,4.761904716491699,0,0,5,9.523809432983398,30.000001907348633,40,31.57894515991211,40,50,4.761904716491699,33.230010986328125,38654705664,0,20291387392,0
203,1771063136879,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.45188903808594,67.35951232910156,66.15625,69.375,68.13672637939453,70.42210388183594,70.15750122070313,66.70545959472656,68.96946716308594,66.36769104003906,66.18253326416016,67.3598861694336,21.052631378173828,10.526315689086914,4.761904716491699,0,0,0,5,5,40,55,40,36.842105865478516,25,5,33.49748229980469,38654705664,0,20291534848,0
201,1771063137083,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.45188903808594,67.35951232910156,66.15625,69.375,68.13672637939453,70.42210388183594,70.15750122070313,66.70545959472656,68.96946716308594,66.36769104003906,66.18253326416016,67.3598861694336,23.809524536132813,5.263157844543457,0,0,9.523809432983398,0,5,0,45,33.333335876464844,30.000001907348633,35,35,0,33.49748229980469,38654705664,0,20233060352,0
199,1771063137285,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.45188903808594,67.35951232910156,66.15625,69.375,68.13672637939453,70.42210388183594,70.15750122070313,66.70545959472656,68.96946716308594,66.36769104003906,66.18253326416016,67.3598861694336,31.57894515991211,19.047618865966797,30.000001907348633,36.842105865478516,35,20,10,5,10,15.000000953674316,19.047618865966797,10,15.000000953674316,28.571430206298828,33.49748229980469,38654705664,0,20557332480,0
203,1771063137485,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,15.000000953674316,47.36842346191406,33.333335876464844,36.842105865478516,45,5,0,4.761904716491699,0,0,0,0,31.57894515991211,33.49748229980469,38654705664,0,20574519296,0
204,1771063137689,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,10,50,36.842105865478516,25,42.85714340209961,9.523809432983398,9.090909004211426,0,0,0,4.761904716491699,0,38.095237731933594,33.49748229980469,38654705664,0,20574666752,0
