Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1770925804150,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.23707580566406,70.9629898071289,69.609375,72.375,68.08328247070313,69.29842376708984,70.08209228515625,68.23686218261719,69.96544647216797,69.25190734863281,67.61631774902344,69.07461547851563,NaN,0,0,0,0,0,0,100,0,0,50,0,100,0,14.588440895080566,38654705664,0,20104593408,0
204,1770925804150,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.23707580566406,70.9629898071289,69.609375,72.375,68.08328247070313,69.29842376708984,70.08209228515625,68.23686218261719,69.96544647216797,69.25190734863281,67.61631774902344,69.07461547851563,100,NaN,0,0,0,0,100,0,0,0,NaN,0,100,0,14.588440895080566,38654705664,0,20106330112,0
204,1770925804355,4,4,4,4,4,4,4,4,4,4,4,4,4,4,68.95487213134766,69.04943084716797,70.765625,72.828125,70.55257415771484,72.1017074584961,72.31849670410156,69.03482055664063,71.35894775390625,68.17694091796875,70.28242492675781,72.39514923095703,76.19047546386719,75,0,0,0,0,55,60.000003814697266,0,20,0,30.000001907348633,52.38095474243164,0,14.588440895080566,38654705664,0,20097728512,0
204,1770925804560,4,4,4,4,4,4,4,4,4,4,4,4,4,4,68.95487213134766,69.04943084716797,70.765625,72.828125,70.55257415771484,72.1017074584961,72.31849670410156,69.03482055664063,71.35894775390625,68.17694091796875,70.28242492675781,72.39514923095703,75,71.42857360839844,0,0,0,0,60.000003814697266,50,38.095237731933594,25,0,30.000001907348633,0,0,14.588440895080566,38654705664,0,20064485376,0
205,1770925804765,4,4,4,4,4,4,4,4,4,4,4,4,4,4,68.95487213134766,69.04943084716797,70.765625,72.828125,70.55257415771484,72.1017074584961,72.31849670410156,69.03482055664063,71.35894775390625,68.17694091796875,70.28242492675781,72.39514923095703,75,65,15.000000953674316,15.000000953674316,15.000000953674316,19.047618865966797,52.6315803527832,38.095237731933594,60.000003814697266,19.047618865966797,40,30.000001907348633,15.000000953674316,15.000000953674316,14.588440895080566,38654705664,0,20038959104,0
205,1770925804970,4,4,4,4,4,4,4,4,4,4,4,4,4,4,68.95487213134766,69.04943084716797,70.765625,72.828125,70.55257415771484,72.1017074584961,72.31849670410156,69.03482055664063,71.35894775390625,68.17694091796875,70.28242492675781,72.39514923095703,100,95.23809814453125,90,90.47618865966797,90,90,95.23809814453125,95.23809814453125,89.47368621826172,95,95,90.47618865966797,90.47618865966797,85.71428680419922,22.526918411254883,38654705664,0,20255342592,0
202,1770925805176,4,4,4,4,4,4,4,4,4,4,4,4,4,4,68.95487213134766,69.04943084716797,70.765625,72.828125,70.55257415771484,72.1017074584961,72.31849670410156,69.03482055664063,71.35894775390625,68.17694091796875,70.28242492675781,72.39514923095703,100,100,90.47618865966797,90,90.47618865966797,90,95.45454406738281,100,90.47618865966797,90,90,90.47618865966797,90,95.23809814453125,22.526918411254883,38654705664,0,20265811968,0
204,1770925805378,4,4,4,4,4,4,4,4,4,4,4,4,4,4,77.51937103271484,79.98625183105469,78.578125,78.140625,80.08757781982422,81.66372680664063,80.5220947265625,78.11299896240234,78.1836929321289,79.6166763305664,76.02513885498047,74.70146179199219,95.23809814453125,100,95,95,90.47618865966797,95.23809814453125,100,100,85.71428680419922,90,85.71428680419922,89.47368621826172,90,90,22.526918411254883,38654705664,0,20224786432,0
204,1770925805583,4,4,4,4,4,4,4,4,4,4,4,4,4,4,77.51937103271484,79.98625183105469,78.578125,78.140625,80.08757781982422,81.66372680664063,80.5220947265625,78.11299896240234,78.1836929321289,79.6166763305664,76.02513885498047,74.70146179199219,100,95.45454406738281,90,90.47618865966797,95,90.47618865966797,100,100,90,90.47618865966797,90,90,90,94.73684692382813,22.526918411254883,38654705664,0,20219576320,0
205,1770925805788,4,4,4,4,4,4,4,4,4,4,4,4,4,4,77.51937103271484,79.98625183105469,78.578125,78.140625,80.08757781982422,81.66372680664063,80.5220947265625,78.11299896240234,78.1836929321289,79.6166763305664,76.02513885498047,74.70146179199219,100,100,95,95,95,94.73684692382813,100,95,90,90,90.47618865966797,86.36363983154297,90.47618865966797,95.23809814453125,22.526918411254883,38654705664,0,20145831936,0
