Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771260725374,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,0,0,0,50,0,0,0,0,0,0,0,0,100,15.246759414672852,38654705664,0,19604946944,0
202,1771260725374,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,NaN,0,0,0,0,0,0,0,0,100,15.246759414672852,38654705664,0,19605946368,0
203,1771260725576,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,14.285715103149414,15.000000953674316,75,30.000001907348633,30.000001907348633,10.526315689086914,5,0,0,0,0,0,33.333335876464844,15.246759414672852,38654705664,0,20512358400,0
199,1771260725779,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,25,30.000001907348633,19.047618865966797,38.095237731933594,30.000001907348633,10,9.523809432983398,0,4.761904716491699,0,0,0,21.052631378173828,15.246759414672852,38654705664,0,22372646912,0
204,1771260725979,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,14.285715103149414,5.263157844543457,21.052631378173828,10,21.052631378173828,21.052631378173828,5,0,9.523809432983398,0,5,4.761904716491699,0,23.809524536132813,19.91705322265625,38654705664,0,22368452608,0
201,1771260726184,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,9.523809432983398,9.523809432983398,9.523809432983398,45,9.523809432983398,5,0,0,4.761904716491699,0,5,4.761904716491699,20,19.91705322265625,38654705664,0,22353788928,0
204,1771260726386,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,10.526315689086914,5.263157844543457,10.526315689086914,10.526315689086914,28.571430206298828,5.263157844543457,5,4.761904716491699,0,0,0,5,0,16.666667938232422,19.91705322265625,38654705664,0,22355394560,0
199,1771260726591,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,19.047618865966797,20,10,10,23.809524536132813,9.523809432983398,5,5,4.761904716491699,0,0,4.761904716491699,23.809524536132813,19.91705322265625,38654705664,0,22355394560,0
204,1771260726791,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,19.047618865966797,20,10,5.263157844543457,30.000001907348633,10,25,0,0,0,0,0,10.526315689086914,19.91705322265625,38654705664,0,22355394560,0
199,1771260726996,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,10.526315689086914,35,15.789472579956055,20,10,9.523809432983398,5,9.090909004211426,5,0,0,0,19.047618865966797,53.15924835205078,38654705664,0,22355394560,0
204,1771260727196,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,10.526315689086914,10,25,15.000000953674316,15.789472579956055,15.789472579956055,0,4.761904716491699,0,0,0,5,0,10,53.15924835205078,38654705664,0,22086828032,0
204,1771260727401,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,5,15.789472579956055,21.052631378173828,14.285715103149414,25,4.761904716491699,5,4.761904716491699,0,4.761904716491699,0,0,26.3157901763916,53.15924835205078,38654705664,0,22685614080,0
204,1771260727606,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,19.047618865966797,10,33.333335876464844,15.000000953674316,15.000000953674316,19.047618865966797,5,4.761904716491699,0,0,0,4.761904716491699,4.761904716491699,20,53.15924835205078,38654705664,0,22971793408,0
203,1771260727811,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,10,9.523809432983398,21.052631378173828,5,15.000000953674316,15.000000953674316,9.523809432983398,0,0,0,0,0,0,28.571430206298828,101.68672180175781,38654705664,0,22971203584,0
204,1771260728014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,10,22.72727394104004,15.000000953674316,30.000001907348633,10,0,0,0,0,0,0,0,21.052631378173828,101.68672180175781,38654705664,0,22998581248,0
200,1771260728219,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,5,31.57894515991211,33.333335876464844,10,10,4.761904716491699,0,5,4.761904716491699,0,0,4.545454502105713,10,101.68672180175781,38654705664,0,22989012992,0
199,1771260728420,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,1.5,40,40,40,40,40,1.5,40,14.285715103149414,10,15.000000953674316,15.789472579956055,10.526315689086914,10,0,9.523809432983398,10,0,0,5,0,26.3157901763916,101.68672180175781,38654705664,0,22949707776,0
204,1771260728620,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,1.5,40,40,40,40,40,1.5,40,16.666667938232422,15.000000953674316,15.789472579956055,10,10,31.57894515991211,10.526315689086914,10,5,4.761904716491699,0,0,0,14.285715103149414,101.68672180175781,38654705664,0,22916481024,0
199,1771260728825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,1.5,40,40,40,40,40,1.5,40,19.047618865966797,10,10,10,30.000001907348633,5,9.090909004211426,10,0,0,0,4.545454502105713,0,25,97.98860931396484,38654705664,0,22914793472,0
204,1771260729025,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,1.5,40,40,40,40,40,1.5,40,15.789472579956055,10,15.000000953674316,15.789472579956055,15.000000953674316,35,5.263157844543457,5.263157844543457,5.263157844543457,0,4.761904716491699,0,0,30.000001907348633,97.98860931396484,38654705664,0,22909763584,0
204,1771260729230,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,1.5,40,40,40,40,40,1.5,40,10,5,10,10.526315689086914,10.526315689086914,28.571430206298828,5,4.761904716491699,0,4.761904716491699,0,0,0,21.052631378173828,97.98860931396484,38654705664,0,22897442816,0
202,1771260729434,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,1.5,40,15.000000953674316,14.285715103149414,21.052631378173828,14.285715103149414,23.809524536132813,21.052631378173828,9.523809432983398,4.761904716491699,4.761904716491699,0,4.761904716491699,0,0,10.526315689086914,97.98860931396484,38654705664,0,22828941312,0
204,1771260729637,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,1.5,40,15.000000953674316,10,19.047618865966797,10,10,33.333335876464844,9.523809432983398,5,0,0,0,0,0,14.285715103149414,97.98860931396484,38654705664,0,22801989632,0
204,1771260729842,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,1.5,40,19.047618865966797,5.263157844543457,10,10,10.526315689086914,28.571430206298828,0,0,4.761904716491699,0,0,0,0,25,102.16328430175781,38654705664,0,22799466496,0
204,1771260730046,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,1.5,40,15.789472579956055,19.047618865966797,10.526315689086914,10,19.047618865966797,26.3157901763916,9.523809432983398,5,0,4.761904716491699,0,0,0,28.571430206298828,102.16328430175781,38654705664,0,22726344704,0
200,1771260730251,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,1.5,40,18.18181800842285,9.523809432983398,10,40,10,19.047618865966797,5,4.761904716491699,0,0,0,0,0,5.263157844543457,102.16328430175781,38654705664,0,22699016192,0
199,1771260730451,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.789472579956055,5.263157844543457,15.000000953674316,15.000000953674316,38.88888931274414,10.526315689086914,10,0,0,0,0,5,4.761904716491699,20,102.16328430175781,38654705664,0,22620995584,0
204,1771260730651,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,10.526315689086914,9.523809432983398,15.789472579956055,15.789472579956055,28.571430206298828,10.526315689086914,0,5,0,0,0,0,0,5.263157844543457,102.16328430175781,38654705664,0,22620995584,0
199,1771260730857,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,14.285715103149414,5.263157844543457,0,4.761904716491699,15.000000953674316,9.523809432983398,9.090909004211426,0,25,10,5,0,0,0,102.95915222167969,38654705664,0,22620995584,0
204,1771260731057,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,10,0,0,0,0,0,9.523809432983398,36.842105865478516,15.789472579956055,10,19.047618865966797,20,14.285715103149414,102.95915222167969,38654705664,0,22620995584,0
201,1771260731262,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,10.526315689086914,10,4.545454502105713,0,0,0,9.523809432983398,5,30.000001907348633,19.047618865966797,20,5,10,0,102.95915222167969,38654705664,0,22545760256,0
202,1771260731463,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.000000953674316,9.523809432983398,0,0,0,0,0,0,10,21.052631378173828,30.000001907348633,26.3157901763916,15.000000953674316,0,102.95915222167969,38654705664,0,22428696576,0
201,1771260731665,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,14.285715103149414,5,0,0,0,4.761904716491699,4.761904716491699,0,10,30.000001907348633,5,19.047618865966797,9.523809432983398,0,102.95915222167969,38654705664,0,22414950400,0
204,1771260731866,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.000000953674316,10,0,0,0,0,5,9.090909004211426,26.3157901763916,21.052631378173828,10.526315689086914,10.526315689086914,5.555555820465088,9.523809432983398,102.87849426269531,38654705664,0,22390865920,0
199,1771260732071,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,10.526315689086914,10,4.761904716491699,4.761904716491699,4.761904716491699,5,5,0,19.047618865966797,15.000000953674316,15.000000953674316,33.333335876464844,19.047618865966797,9.523809432983398,102.87849426269531,38654705664,0,22347563008,0
203,1771260732271,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,10.526315689086914,0,0,0,0,14.285715103149414,0,10.526315689086914,10,40,5.263157844543457,0,0,102.87849426269531,38654705664,0,22319759360,0
200,1771260732475,4,4,4,4,4,4,4,4,4,4,4,4,4,4,71.39116668701172,74.27594757080078,73.296875,78.359375,72.08100891113281,72.93836212158203,73.5854263305664,74.80773162841797,76.20911407470703,74.28976440429688,70.2465591430664,70.46507263183594,30.000001907348633,20,0,0,0,4.545454502105713,10,9.523809432983398,15.000000953674316,15.789472579956055,30.000001907348633,20,23.809524536132813,0,102.87849426269531,38654705664,0,22275883008,0
