Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771267664099,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.62162399291992,44.2032585144043,41.61012649536133,41.74614715576172,44.21697235107422,40.83540344238281,41.946109771728516,44.009761810302734,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,NaN,0,NaN,0,0,0,0,27.254526138305664,137438953472,0,21935849472,0
209,1771267664099,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.62162399291992,44.2032585144043,41.61012649536133,41.74614715576172,44.21697235107422,40.83540344238281,41.946109771728516,44.009761810302734,100,NaN,NaN,0,NaN,NaN,0,0,0,NaN,0,0,0,NaN,NaN,100,0,100,NaN,0,0,NaN,0,NaN,27.254526138305664,137438953472,0,21936898048,0
203,1771267664309,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.62162399291992,44.2032585144043,41.61012649536133,41.74614715576172,44.21697235107422,40.83540344238281,41.946109771728516,44.009761810302734,33.333335876464844,28.571430206298828,0,0,4.761904716491699,4.545454502105713,0,4.761904716491699,14.285715103149414,4.545454502105713,0,0,75,33.333335876464844,52.38095474243164,65,5,71.42857360839844,0,0,0,0,0,0,27.254526138305664,137438953472,0,23632363520,0
209,1771267664512,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.73228454589844,44.27677917480469,41.68021774291992,41.83126449584961,44.31632995605469,40.95295333862305,42.07936477661133,44.147804260253906,40,52.38095474243164,0,0,14.285715103149414,5,0,0,0,0,0,0,61.904762268066406,80,35,0,0,60.000003814697266,0,0,0,0,0,0,27.254526138305664,137438953472,0,25901154304,0
209,1771267664722,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.73228454589844,44.27677917480469,41.68021774291992,41.83126449584961,44.31632995605469,40.95295333862305,42.07936477661133,44.147804260253906,75,57.142860412597656,0,0,9.523809432983398,9.090909004211426,0,0,4.761904716491699,4.545454502105713,0,0,28.571430206298828,28.571430206298828,68.18181610107422,10,28.571430206298828,45,4.545454502105713,0,0,0,0,0,27.254526138305664,137438953472,0,26227703808,0
199,1771267664932,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.73228454589844,44.27677917480469,41.68021774291992,41.83126449584961,44.31632995605469,40.95295333862305,42.07936477661133,44.147804260253906,63.6363639831543,70,0,0,9.523809432983398,0,0,0,4.761904716491699,0,0,0,28.571430206298828,47.619049072265625,40,9.523809432983398,14.285715103149414,50,0,0,0,0,0,0,78.03248596191406,137438953472,0,26232127488,0
199,1771267665132,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.73228454589844,44.27677917480469,41.68021774291992,41.83126449584961,44.31632995605469,40.95295333862305,42.07936477661133,44.147804260253906,63.15789031982422,55,0,0,5.263157844543457,4.761904716491699,4.761904716491699,0,0,0,0,0,40,47.36842346191406,21.052631378173828,35,10,52.6315803527832,5,0,0,0,0,0,78.03248596191406,137438953472,0,26232127488,0
207,1771267665332,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.73228454589844,44.27677917480469,41.68021774291992,41.83126449584961,44.31632995605469,40.95295333862305,42.07936477661133,44.147804260253906,80,50,0,0,28.571430206298828,10.526315689086914,5.263157844543457,0,9.523809432983398,0,0,4.761904716491699,35,68.42105102539063,36.842105865478516,15.000000953674316,10,61.904762268066406,5,0,0,0,0,0,78.03248596191406,137438953472,0,26232127488,0
199,1771267665539,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,44.404842376708984,45.17811965942383,42.48735809326172,42.53410720825195,46.02226257324219,43.23214340209961,44.46823501586914,46.377384185791016,76.19047546386719,90,0,0,14.285715103149414,5,0,4.545454502105713,0,4.761904716491699,0,0,31.57894515991211,35,35,40,5,35,0,5,0,0,0,0,78.03248596191406,137438953472,0,26232127488,0
199,1771267665739,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,44.404842376708984,45.17811965942383,42.48735809326172,42.53410720825195,46.02226257324219,43.23214340209961,44.46823501586914,46.377384185791016,85,70,0,0,5.263157844543457,9.523809432983398,5,0,0,0,4.761904716491699,0,10,55,25,25,10,38.095237731933594,0,4.761904716491699,5,9.523809432983398,0,0,78.03248596191406,137438953472,0,26258358272,0
203,1771267665939,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,44.404842376708984,45.17811965942383,42.48735809326172,42.53410720825195,46.02226257324219,43.23214340209961,44.46823501586914,46.377384185791016,80,61.904762268066406,0,0,5.263157844543457,0,0,0,9.523809432983398,0,0,0,30.000001907348633,40,45,20,15.000000953674316,31.57894515991211,0,0,0,0,0,0,148.82278442382813,137438953472,0,26262847488,0
206,1771267666143,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,44.404842376708984,45.17811965942383,42.48735809326172,42.53410720825195,46.02226257324219,43.23214340209961,44.46823501586914,46.377384185791016,90.47618865966797,70,0,0,22.72727394104004,5.263157844543457,4.761904716491699,5,5,4.761904716491699,5,0,25,38.88888931274414,47.36842346191406,10.526315689086914,19.047618865966797,25,0,0,0,0,0,4.545454502105713,148.82278442382813,137438953472,0,26262847488,0
203,1771267666350,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,44.404842376708984,45.17811965942383,42.48735809326172,42.53410720825195,46.02226257324219,43.23214340209961,44.46823501586914,46.377384185791016,95,33.333335876464844,0,0,5,4.545454502105713,0,0,0,0,4.761904716491699,0,65,57.142860412597656,38.095237731933594,10,10,14.285715103149414,0,0,0,0,0,5,148.82278442382813,137438953472,0,26262847488,0
199,1771267666554,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.23153305053711,45.597991943359375,43.027095794677734,43.271385192871094,47.16532516479492,44.47898483276367,45.695579528808594,47.554161071777344,65,73.68421173095703,0,0,4.761904716491699,9.523809432983398,0,4.761904716491699,0,0,5,4.761904716491699,45.45454788208008,52.38095474243164,35,25,9.523809432983398,28.571430206298828,4.761904716491699,0,0,0,0,0,148.82278442382813,137438953472,0,26262847488,0
200,1771267666754,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.23153305053711,45.597991943359375,43.027095794677734,43.271385192871094,47.16532516479492,44.47898483276367,45.695579528808594,47.554161071777344,73.68421173095703,40,0,0,5.263157844543457,0,0,0,5,9.090909004211426,9.523809432983398,0,85,11.111111640930176,70,10,10.526315689086914,0,5,0,0,0,0,0,148.82278442382813,137438953472,0,26235600896,0
202,1771267666955,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.23153305053711,45.597991943359375,43.027095794677734,43.271385192871094,47.16532516479492,44.47898483276367,45.695579528808594,47.554161071777344,95.23809814453125,65,0,0,4.761904716491699,4.761904716491699,0,0,4.761904716491699,0,0,0,31.57894515991211,35,40,35,10,15.000000953674316,0,5,0,0,0,0,150.19625854492188,137438953472,0,26234978304,0
