Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771236718740,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78082275390625,38654705664,0,17860476928,0
200,1771236718741,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,NaN,0,0,0,NaN,50,0,0,0,0,0,0,0,100,16.78082275390625,38654705664,0,17861509120,0
204,1771236718941,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,9.523809432983398,10,45,0,10,50,4.761904716491699,0,0,0,0,0,0,5,16.804046630859375,38654705664,0,17861509120,0
204,1771236719146,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,5,28.571430206298828,19.047618865966797,23.809524536132813,25,0,4.761904716491699,0,9.523809432983398,0,0,0,47.619049072265625,16.804046630859375,38654705664,0,17861509120,0
204,1771236719351,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,10,9.523809432983398,15.000000953674316,19.047618865966797,14.285715103149414,0,4.761904716491699,0,9.523809432983398,5,20,9.523809432983398,0,20,16.804046630859375,38654705664,0,17861509120,0
200,1771236719556,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,10.526315689086914,10,10,0,0,4.761904716491699,4.761904716491699,4.761904716491699,21.052631378173828,19.047618865966797,28.571430206298828,23.809524536132813,14.285715103149414,0,16.804046630859375,38654705664,0,20279361536,0
201,1771236719756,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,14.285715103149414,5,0,0,0,0,5,5,20,5.555555820465088,21.052631378173828,10.526315689086914,10.526315689086914,0,16.804046630859375,38654705664,0,20265533440,0
200,1771236719958,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.000000953674316,10.526315689086914,4.761904716491699,0,0,4.761904716491699,5,0,14.285715103149414,20,14.285715103149414,21.052631378173828,35,5,18.694080352783203,38654705664,0,20240924672,0
201,1771236720158,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,14.285715103149414,5,9.523809432983398,5,0,5.263157844543457,10,15.789472579956055,21.052631378173828,10.526315689086914,26.3157901763916,10.526315689086914,9.523809432983398,18.694080352783203,38654705664,0,20240924672,0
204,1771236720360,4,4,4,4,4,4,4,4,4,4,4,4,4,4,58.721649169921875,61.45956802368164,61.296875,65.203125,59.76802444458008,60.852054595947266,60.67136001586914,61.265892028808594,62.55358123779297,61.11235046386719,59.18291091918945,60.10688400268555,5.555555820465088,9.523809432983398,5,0,4.761904716491699,4.761904716491699,9.523809432983398,0,31.57894515991211,15.789472579956055,9.523809432983398,9.523809432983398,28.571430206298828,0,18.694080352783203,38654705664,0,20240924672,0
