Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771273156037,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.3030891418457,50.04133605957031,47.89042282104492,48.997806549072266,48.793704986572266,46.06321716308594,46.78746032714844,49.337425231933594,100,100,0,0,0,100,100,0,0,0,0,NaN,66.66667175292969,0,0,0,0,100,0,0,0,0,100,0,28.06732940673828,137438953472,0,22122151936,0
209,1771273156037,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.3030891418457,50.04133605957031,47.89042282104492,48.997806549072266,48.793704986572266,46.06321716308594,46.78746032714844,49.337425231933594,100,0,NaN,NaN,100,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,100,NaN,28.06732940673828,137438953472,0,22124871680,0
209,1771273156247,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.3030891418457,50.04133605957031,47.89042282104492,48.997806549072266,48.793704986572266,46.06321716308594,46.78746032714844,49.337425231933594,80,80,28.571430206298828,28.571430206298828,76.19047546386719,65,23.809524536132813,5,0,0,0,0,85.71428680419922,0,0,0,0,80,4.545454502105713,0,0,0,68.18181610107422,42.85714340209961,28.06732940673828,137438953472,0,23533158400,0
200,1771273156457,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,50.26416778564453,49.771263122558594,47.41488265991211,48.15434646606445,48.966705322265625,46.29709243774414,47.02783966064453,49.759613037109375,81.81818389892578,77.2727279663086,9.523809432983398,9.090909004211426,76.19047546386719,61.904762268066406,47.619049072265625,19.047618865966797,4.545454502105713,4.545454502105713,4.545454502105713,0,85.71428680419922,0,0,0,0,66.66667175292969,0,0,4.761904716491699,0,73.68421173095703,33.333335876464844,28.06732940673828,137438953472,0,25522176000,0
199,1771273156657,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,50.26416778564453,49.771263122558594,47.41488265991211,48.15434646606445,48.966705322265625,46.29709243774414,47.02783966064453,49.759613037109375,84.21052551269531,84.21052551269531,21.052631378173828,0,73.68421173095703,65,36.842105865478516,15.000000953674316,0,5,0,0,78.94737243652344,0,0,0,0,70,0,5,5,0,75,15.000000953674316,28.06732940673828,137438953472,0,26397655040,0
200,1771273156857,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,50.26416778564453,49.771263122558594,47.41488265991211,48.15434646606445,48.966705322265625,46.29709243774414,47.02783966064453,49.759613037109375,75,61.904762268066406,15.789472579956055,25,45,30.000001907348633,19.047618865966797,10,5,10,5.263157844543457,0,75,4.761904716491699,5,4.761904716491699,0,50,9.523809432983398,4.761904716491699,0,15.000000953674316,40,16.666667938232422,65.974609375,137438953472,0,26681278464,0
203,1771273157057,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,50.26416778564453,49.771263122558594,47.41488265991211,48.15434646606445,48.966705322265625,46.29709243774414,47.02783966064453,49.759613037109375,68.42105102539063,68.42105102539063,28.571430206298828,10.526315689086914,10,5,5,0,0,0,4.761904716491699,4.761904716491699,42.105262756347656,0,0,0,4.761904716491699,31.57894515991211,5.263157844543457,0,5,0,36.842105865478516,47.619049072265625,65.974609375,137438953472,0,26681278464,0
199,1771273157261,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,50.26416778564453,49.771263122558594,47.41488265991211,48.15434646606445,48.966705322265625,46.29709243774414,47.02783966064453,49.759613037109375,65,47.619049072265625,10,19.047618865966797,10,9.523809432983398,0,0,0,0,0,4.761904716491699,33.333335876464844,0,4.761904716491699,0,0,40,5,15.000000953674316,4.761904716491699,9.090909004211426,55,33.333335876464844,65.974609375,137438953472,0,26681278464,0
199,1771273157461,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.48426818847656,51.219303131103516,48.52457809448242,49.26698684692383,50.96811294555664,48.53632736206055,49.33282470703125,52.257591247558594,52.38095474243164,36.842105865478516,31.57894515991211,10,5,0,0,4.761904716491699,0,0,0,0,19.047618865966797,0,0,5,0,14.285715103149414,14.285715103149414,4.761904716491699,0,0,52.6315803527832,30.000001907348633,65.974609375,137438953472,0,26608500736,0
200,1771273157661,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.48426818847656,51.219303131103516,48.52457809448242,49.26698684692383,50.96811294555664,48.53632736206055,49.33282470703125,52.257591247558594,52.6315803527832,40,15.000000953674316,15.789472579956055,0,0,0,0,9.090909004211426,13.636363983154297,5,0,15.789472579956055,5.263157844543457,0,0,4.761904716491699,15.789472579956055,5.263157844543457,5.263157844543457,5,0,42.85714340209961,36.842105865478516,65.974609375,137438953472,0,26995458048,0
