Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771062880412,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,100,0,0,0,0,0,0,0,0,0,16.58804702758789,38654705664,0,20356022272,0
202,1771062880412,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,100,0,0,0,0,0,0,0,0,0,16.58804702758789,38654705664,0,20356022272,0
203,1771062880615,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.789472579956055,9.523809432983398,47.619049072265625,36.842105865478516,0,23.809524536132813,0,5,0,0,0,0,0,20,16.58804702758789,38654705664,0,20356022272,0
204,1771062880818,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,15.000000953674316,10.526315689086914,25,13.636363983154297,50,15.000000953674316,5,0,4.545454502105713,0,0,0,40,16.58804702758789,38654705664,0,20356022272,0
204,1771062881023,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,10,28.571430206298828,27.272727966308594,50,47.619049072265625,5,4.761904716491699,0,0,0,0,0,25,17.305152893066406,38654705664,0,20356022272,0
200,1771062881228,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.789472579956055,10,19.047618865966797,10,10,9.523809432983398,9.523809432983398,0,23.809524536132813,30.000001907348633,28.571430206298828,15.000000953674316,25,9.523809432983398,17.305152893066406,38654705664,0,20886749184,0
203,1771062881428,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,19.047618865966797,5.263157844543457,0,0,0,0,5,5,21.052631378173828,15.000000953674316,26.3157901763916,45,55,0,17.305152893066406,38654705664,0,20853489664,0
202,1771062881631,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,14.285715103149414,0,0,0,0,5,0,20,45,57.142860412597656,30.000001907348633,19.047618865966797,0,17.305152893066406,38654705664,0,20852129792,0
200,1771062881834,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,11.111111640930176,10,0,0,0,0,5,5,35,42.105262756347656,25,30.000001907348633,30.000001907348633,0,17.305152893066406,38654705664,0,20861370368,0
204,1771062882034,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,10,0,0,0,0,0,0,35,45,15.000000953674316,40,31.57894515991211,0,21.647563934326172,38654705664,0,20854439936,0
204,1771062882239,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,19.047618865966797,10,0,0,0,0,9.090909004211426,0,47.619049072265625,25,30.000001907348633,20,35,0,21.647563934326172,38654705664,0,20823146496,0
203,1771062882444,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.63766479492188,66.0943374633789,65.453125,69.140625,67.28829956054688,69.55512237548828,69.09964752197266,66.43856811523438,68.81492614746094,65.47169494628906,65.08872985839844,66.09147644042969,20,10,0,0,0,0,5,5,50,14.285715103149414,45,20,35,4.761904716491699,21.647563934326172,38654705664,0,20816265216,0
200,1771062882648,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.63766479492188,66.0943374633789,65.453125,69.140625,67.28829956054688,69.55512237548828,69.09964752197266,66.43856811523438,68.81492614746094,65.47169494628906,65.08872985839844,66.09147644042969,15.789472579956055,10,0,0,0,0,5,4.761904716491699,50,15.000000953674316,30.000001907348633,45,23.809524536132813,0,21.647563934326172,38654705664,0,20816429056,0
203,1771062882849,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.63766479492188,66.0943374633789,65.453125,69.140625,67.28829956054688,69.55512237548828,69.09964752197266,66.43856811523438,68.81492614746094,65.47169494628906,65.08872985839844,66.09147644042969,20,21.052631378173828,0,0,0,0,5,5,21.052631378173828,50,42.85714340209961,35,10,0,21.647563934326172,38654705664,0,20395180032,0
200,1771062883053,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.63766479492188,66.0943374633789,65.453125,69.140625,67.28829956054688,69.55512237548828,69.09964752197266,66.43856811523438,68.81492614746094,65.47169494628906,65.08872985839844,66.09147644042969,20,14.285715103149414,0,0,0,0,5,0,14.285715103149414,42.85714340209961,36.842105865478516,20,50,4.761904716491699,31.685813903808594,38654705664,0,20309557248,0
204,1771062883253,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.63766479492188,66.0943374633789,65.453125,69.140625,67.28829956054688,69.55512237548828,69.09964752197266,66.43856811523438,68.81492614746094,65.47169494628906,65.08872985839844,66.09147644042969,15.789472579956055,10,4.761904716491699,0,0,0,5,0,15.789472579956055,26.3157901763916,25,55,36.842105865478516,0,31.685813903808594,38654705664,0,20313194496,0
200,1771062883458,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.53063201904297,67.89588165283203,65.921875,69.375,66.4861831665039,67.93047332763672,68.77540588378906,66.29314422607422,68.23918151855469,66.66792297363281,65.91952514648438,67.46358489990234,15.789472579956055,5.263157844543457,0,4.545454502105713,0,0,9.523809432983398,5,20,30.000001907348633,40,42.85714340209961,33.333335876464844,0,31.685813903808594,38654705664,0,20319911936,0
204,1771062883659,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.53063201904297,67.89588165283203,65.921875,69.375,66.4861831665039,67.93047332763672,68.77540588378906,66.29314422607422,68.23918151855469,66.66792297363281,65.91952514648438,67.46358489990234,19.047618865966797,14.285715103149414,0,0,0,0,0,0,30.000001907348633,40,20,26.3157901763916,40,0,31.685813903808594,38654705664,0,20320026624,0
204,1771062883864,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.53063201904297,67.89588165283203,65.921875,69.375,66.4861831665039,67.93047332763672,68.77540588378906,66.29314422607422,68.23918151855469,66.66792297363281,65.91952514648438,67.46358489990234,15.789472579956055,10,4.761904716491699,0,0,0,5,9.523809432983398,57.142860412597656,20,20,20,35,0,31.685813903808594,38654705664,0,20263518208,0
200,1771062884068,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.53063201904297,67.89588165283203,65.921875,69.375,66.4861831665039,67.93047332763672,68.77540588378906,66.29314422607422,68.23918151855469,66.66792297363281,65.91952514648438,67.46358489990234,19.047618865966797,10,0,0,0,0,5,0,35,38.095237731933594,40,35,19.047618865966797,0,34.14683532714844,38654705664,0,20242677760,0
201,1771062884268,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.53063201904297,67.89588165283203,65.921875,69.375,66.4861831665039,67.93047332763672,68.77540588378906,66.29314422607422,68.23918151855469,66.66792297363281,65.91952514648438,67.46358489990234,10.526315689086914,10,0,0,0,0,9.523809432983398,4.761904716491699,40,36.842105865478516,20,40,31.57894515991211,9.090909004211426,34.14683532714844,38654705664,0,20242890752,0
204,1771062884469,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.87540435791016,67.13115692138672,65.921875,69.140625,68.72803497314453,71.04824829101563,69.22142028808594,65.52931213378906,67.20840454101563,66.02725982666016,66.68119049072266,67.94583129882813,20,5.263157844543457,0,0,0,0,0,0,36.842105865478516,26.3157901763916,15.000000953674316,30.000001907348633,47.619049072265625,0,34.14683532714844,38654705664,0,20243136512,0
200,1771062884674,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.87540435791016,67.13115692138672,65.921875,69.140625,68.72803497314453,71.04824829101563,69.22142028808594,65.52931213378906,67.20840454101563,66.02725982666016,66.68119049072266,67.94583129882813,15.000000953674316,10,0,0,0,0,5,0,33.333335876464844,45,28.571430206298828,35,21.052631378173828,0,34.14683532714844,38654705664,0,20243218432,0
202,1771062884874,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.87540435791016,67.13115692138672,65.921875,69.140625,68.72803497314453,71.04824829101563,69.22142028808594,65.52931213378906,67.20840454101563,66.02725982666016,66.68119049072266,67.94583129882813,15.789472579956055,10,0,0,0,0,4.761904716491699,5,25,35,47.36842346191406,19.047618865966797,36.842105865478516,0,31.77106475830078,38654705664,0,20176158720,0
204,1771062885077,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.87540435791016,67.13115692138672,65.921875,69.140625,68.72803497314453,71.04824829101563,69.22142028808594,65.52931213378906,67.20840454101563,66.02725982666016,66.68119049072266,67.94583129882813,15.789472579956055,10,0,0,0,0,0,0,30.000001907348633,19.047618865966797,50,40,22.72727394104004,0,31.77106475830078,38654705664,0,20176158720,0
202,1771062885282,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.87540435791016,67.13115692138672,65.921875,69.140625,68.72803497314453,71.04824829101563,69.22142028808594,65.52931213378906,67.20840454101563,66.02725982666016,66.68119049072266,67.94583129882813,19.047618865966797,10,21.052631378173828,28.571430206298828,23.809524536132813,23.809524536132813,9.523809432983398,4.761904716491699,5,4.761904716491699,10,5,5.263157844543457,38.095237731933594,31.77106475830078,38654705664,0,20191494144,0
202,1771062885484,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,15.000000953674316,10,45,26.3157901763916,25,40,5,5,0,0,0,0,0,15.789472579956055,31.77106475830078,38654705664,0,20202717184,0
204,1771062885687,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,15.789472579956055,10,42.85714340209961,30.000001907348633,35,31.57894515991211,0,4.761904716491699,0,0,0,0,0,25,31.77106475830078,38654705664,0,20206108672,0
200,1771062885892,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,14.285715103149414,9.523809432983398,10,25,38.095237731933594,28.571430206298828,4.761904716491699,0,0,0,0,0,0,33.333335876464844,31.857189178466797,38654705664,0,20520468480,0
204,1771062886092,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,16.666667938232422,5.263157844543457,21.052631378173828,25,15.789472579956055,20,0,0,4.761904716491699,0,0,0,0,21.052631378173828,31.857189178466797,38654705664,0,20551630848,0
200,1771062886297,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,20,10,23.809524536132813,30.000001907348633,20,20,9.523809432983398,0,4.761904716491699,4.761904716491699,0,0,0,30.000001907348633,31.857189178466797,38654705664,0,20521566208,0
201,1771062886498,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,20,10.526315689086914,25,25,25,25,0,4.761904716491699,0,0,4.761904716491699,0,4.761904716491699,25,31.857189178466797,38654705664,0,20497186816,0
200,1771062886700,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,20,10,21.052631378173828,25,25,25,5,0,0,0,0,0,0,25,31.857189178466797,38654705664,0,20497170432,0
200,1771062886901,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,16.666667938232422,15.000000953674316,21.052631378173828,16.666667938232422,21.052631378173828,21.052631378173828,0,0,0,0,0,4.761904716491699,0,21.052631378173828,31.285358428955078,38654705664,0,20457504768,0
200,1771062887101,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,25,10,25,25,25,25,0,0,4.761904716491699,0,0,4.761904716491699,0,25,31.285358428955078,38654705664,0,20381319168,0
199,1771062887301,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,40,40,1.5,1.5,1.5,40,40,15.789472579956055,5.263157844543457,25,25,25,21.052631378173828,5,0,5,5,0,0,0,25,31.285358428955078,38654705664,0,20344078336,0
201,1771062887501,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,10,25,21.052631378173828,15.789472579956055,25,0,0,0,4.761904716491699,0,0,4.761904716491699,30.000001907348633,31.285358428955078,38654705664,0,20419674112,0
204,1771062887702,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,15.000000953674316,40,38.095237731933594,42.85714340209961,30.000001907348633,9.523809432983398,4.761904716491699,0,0,4.761904716491699,0,0,20,31.285358428955078,38654705664,0,20470874112,0
203,1771062887907,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,15.000000953674316,30.000001907348633,25,47.36842346191406,25,10,10,4.761904716491699,0,0,0,0,36.842105865478516,21.903610229492188,38654705664,0,20340670464,0
204,1771062888111,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.789472579956055,5.263157844543457,50,50,42.85714340209961,52.6315803527832,9.523809432983398,0,10,20,15.000000953674316,15.000000953674316,0,52.38095474243164,21.903610229492188,38654705664,0,20794769408,0
200,1771062888315,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.000000953674316,13.636363983154297,66.66667175292969,52.38095474243164,60.000003814697266,36.3636360168457,0,9.090909004211426,14.285715103149414,9.523809432983398,4.761904716491699,5,9.523809432983398,42.105262756347656,21.903610229492188,38654705664,0,20817969152,0
204,1771062888516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.000000953674316,5.263157844543457,36.842105865478516,47.36842346191406,26.3157901763916,89.47368621826172,5,0,15.789472579956055,10,10.526315689086914,15.000000953674316,5,52.38095474243164,21.903610229492188,38654705664,0,20819509248,0
204,1771062888720,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,35,40,10,40,33.333335876464844,45,30.000001907348633,15.000000953674316,14.285715103149414,5,0,5,0,36.842105865478516,21.903610229492188,38654705664,0,21090975744,0
204,1771062888924,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,25,15.000000953674316,40,28.571430206298828,40,35,10,5,0,0,4.761904716491699,0,0,20,25.304828643798828,38654705664,0,21037187072,0
204,1771062889129,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,15.000000953674316,50,45,19.047618865966797,19.047618865966797,10,5.263157844543457,0,4.761904716491699,0,0,0,28.571430206298828,25.304828643798828,38654705664,0,21035663360,0
202,1771062889334,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,25,15.000000953674316,9.090909004211426,0,5,0,5,14.285715103149414,30.000001907348633,20,36.842105865478516,35,10,15.000000953674316,25.304828643798828,38654705664,0,21034090496,0
201,1771062889537,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.000000953674316,20,0,0,0,0,10,0,20,45,38.095237731933594,42.85714340209961,28.571430206298828,0,25.304828643798828,38654705664,0,21034156032,0
202,1771062889738,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,47.36842346191406,30.000001907348633,0,0,0,0,36.3636360168457,25,50,31.57894515991211,30.000001907348633,15.000000953674316,31.57894515991211,0,25.304828643798828,38654705664,0,21140357120,0
201,1771062889941,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,40,20,15.000000953674316,13.636363983154297,5,9.090909004211426,10.526315689086914,14.285715103149414,45,38.095237731933594,60.000003814697266,52.6315803527832,40,9.523809432983398,37.98460388183594,38654705664,0,20825473024,0
204,1771062890142,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,25,14.285715103149414,0,0,9.523809432983398,0,0,0,50,30.000001907348633,28.571430206298828,38.095237731933594,35,10,37.98460388183594,38654705664,0,20589150208,0
201,1771062890347,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.000000953674316,5.263157844543457,0,0,0,0,4.761904716491699,0,35,52.38095474243164,10.526315689086914,25,35,0,37.98460388183594,38654705664,0,20590002176,0
204,1771062890549,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.89278411865234,68.5385971069336,67.3125,70.984375,69.7292251586914,72.32234191894531,71.5657730102539,67.72016906738281,69.94475555419922,67.43202209472656,67.37665557861328,68.54149627685547,15.789472579956055,5.263157844543457,0,0,0,0,5,5,15.000000953674316,47.36842346191406,30.000001907348633,30.000001907348633,35,0,37.98460388183594,38654705664,0,20589903872,0
199,1771062890755,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.89278411865234,68.5385971069336,67.3125,70.984375,69.7292251586914,72.32234191894531,71.5657730102539,67.72016906738281,69.94475555419922,67.43202209472656,67.37665557861328,68.54149627685547,19.047618865966797,13.636363983154297,0,0,0,0,9.523809432983398,0,23.809524536132813,10,38.095237731933594,45,52.38095474243164,0,37.98460388183594,38654705664,0,20588625920,0
203,1771062890955,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.89278411865234,68.5385971069336,67.3125,70.984375,69.7292251586914,72.32234191894531,71.5657730102539,67.72016906738281,69.94475555419922,67.43202209472656,67.37665557861328,68.54149627685547,20,10.526315689086914,4.761904716491699,0,0,0,5,4.761904716491699,25,15.000000953674316,42.105262756347656,40,33.333335876464844,0,32.57940673828125,38654705664,0,20501659648,0
203,1771062891159,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.89278411865234,68.5385971069336,67.3125,70.984375,69.7292251586914,72.32234191894531,71.5657730102539,67.72016906738281,69.94475555419922,67.43202209472656,67.37665557861328,68.54149627685547,10.526315689086914,5.263157844543457,0,0,0,0,0,0,47.36842346191406,42.85714340209961,20,19.047618865966797,36.3636360168457,4.761904716491699,32.57940673828125,38654705664,0,20518010880,0
