Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771063387914,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,100,0,50,NaN,50,100,50,0,0,0,NaN,0,0,0,16.556236267089844,38654705664,0,20911210496,0
204,1771063387914,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,0,0,0,NaN,100,0,0,0,0,0,0,0,100,16.556236267089844,38654705664,0,20948975616,0
202,1771063388119,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,5.263157844543457,5.263157844543457,0,25,35,5,0,0,0,0,0,0,57.142860412597656,16.556236267089844,38654705664,0,21186396160,0
203,1771063388321,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,25,9.523809432983398,9.523809432983398,25,9.523809432983398,14.285715103149414,15.000000953674316,25,5,23.809524536132813,10,28.571430206298828,25,16.556236267089844,38654705664,0,21194686464,0
200,1771063388525,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.000000953674316,14.285715103149414,0,0,0,0,5.263157844543457,5,38.095237731933594,23.809524536132813,35,35,25,4.761904716491699,16.556236267089844,38654705664,0,21187461120,0
202,1771063388725,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.000000953674316,5.263157844543457,5,0,4.761904716491699,0,5,0,31.57894515991211,21.052631378173828,35,31.57894515991211,26.3157901763916,0,16.556236267089844,38654705664,0,21169078272,0
204,1771063388928,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.789472579956055,15.000000953674316,0,0,0,0,0,5,30.000001907348633,25,28.571430206298828,45,28.571430206298828,0,18.598426818847656,38654705664,0,21147598848,0
204,1771063389132,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,28.571430206298828,10,0,0,0,0,13.636363983154297,9.523809432983398,42.85714340209961,35,42.105262756347656,14.285715103149414,35,0,18.598426818847656,38654705664,0,21159264256,0
204,1771063389337,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,10,14.285715103149414,0,0,0,0,0,0,30.000001907348633,40,25,15.000000953674316,45,0,18.598426818847656,38654705664,0,21161525248,0
200,1771063389542,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64.94062805175781,66.66390991210938,65.6875,69.140625,67.46514129638672,69.37921142578125,67.97592163085938,66.17439270019531,68.2864990234375,65.81196594238281,66.04595184326172,67.38561248779297,10.526315689086914,5.263157844543457,0,0,0,0,9.090909004211426,0,14.285715103149414,42.85714340209961,14.285715103149414,30.000001907348633,50,0,18.598426818847656,38654705664,0,21145321472,0
