Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771062627789,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,100,NaN,0,NaN,0,100,0,66.66667175292969,0,0,0,0,NaN,0,18.187026977539063,38654705664,0,21782478848,0
204,1771062627789,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,NaN,0,0,0,NaN,NaN,0,NaN,0,0,0,0,0,100,18.187026977539063,38654705664,0,21792751616,0
200,1771062627994,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,23.809524536132813,60.000003814697266,42.85714340209961,30.000001907348633,28.571430206298828,15.000000953674316,9.523809432983398,19.047618865966797,0,10,0,0,15.000000953674316,19.018028259277344,38654705664,0,21945712640,0
202,1771062628195,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,36.842105865478516,42.105262756347656,45,45,26.3157901763916,31.57894515991211,25,15.000000953674316,0,0,4.761904716491699,0,0,15.000000953674316,19.018028259277344,38654705664,0,21945712640,0
203,1771062628397,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,1.5,1.5,1.5,1.5,1.5,40,1.5,60.000003814697266,52.6315803527832,50,30.000001907348633,38.095237731933594,42.85714340209961,45,42.105262756347656,5,4.761904716491699,4.761904716491699,9.090909004211426,5,30.000001907348633,19.018028259277344,38654705664,0,21945712640,0
199,1771062628601,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,1.5,1.5,1.5,1.5,1.5,40,1.5,40,33.333335876464844,35,50,55,42.105262756347656,20,19.047618865966797,23.809524536132813,25,20,15.789472579956055,23.809524536132813,50,19.018028259277344,38654705664,0,22261874688,0
201,1771062628801,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,1.5,1.5,1.5,1.5,1.5,40,1.5,36.842105865478516,26.3157901763916,19.047618865966797,35,40,38.095237731933594,15.000000953674316,5.263157844543457,21.052631378173828,10,0,9.523809432983398,0,42.105262756347656,19.018028259277344,38654705664,0,22259974144,0
200,1771062629002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,1.5,1.5,1.5,1.5,1.5,40,1.5,35,25,26.3157901763916,35,30.000001907348633,30.000001907348633,20,10,25,23.809524536132813,15.000000953674316,15.000000953674316,19.047618865966797,25,20.748607635498047,38654705664,0,22246146048,0
199,1771062629203,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,1.5,40,40,40,1.5,1.5,1.5,1.5,1.5,40,1.5,26.3157901763916,20,0,0,0,0,10,10,40,31.57894515991211,40,21.052631378173828,31.57894515991211,9.523809432983398,20.748607635498047,38654705664,0,22079176704,0
204,1771062629403,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,26.3157901763916,20,0,0,0,0,10.526315689086914,10,21.052631378173828,25,35,42.85714340209961,33.333335876464844,0,20.748607635498047,38654705664,0,22036856832,0
204,1771062629608,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,30.000001907348633,15.000000953674316,0,0,0,0,10,9.523809432983398,25,35,40,36.842105865478516,21.052631378173828,0,20.748607635498047,38654705664,0,21893316608,0
203,1771062629813,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,15.789472579956055,4.761904716491699,4.761904716491699,0,0,10,5,47.619049072265625,30.000001907348633,20,38.095237731933594,45,5,20.748607635498047,38654705664,0,21892841472,0
202,1771062630017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,14.285715103149414,4.761904716491699,0,0,0,4.761904716491699,5,40,33.333335876464844,23.809524536132813,30.000001907348633,28.571430206298828,5,36.800331115722656,38654705664,0,21891072000,0
201,1771062630220,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,25,15.000000953674316,5,10,5,4.761904716491699,15.000000953674316,9.523809432983398,45,36.842105865478516,30.000001907348633,25,25,19.047618865966797,36.800331115722656,38654705664,0,21762555904,0
203,1771062630421,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.82190704345703,68.66079711914063,67.765625,70.296875,69.4906234741211,71.75359344482422,71.39676666259766,67.66368865966797,69.51571655273438,67.64635467529297,67.30333709716797,68.37505340576172,30.000001907348633,15.000000953674316,10,5,5,5,9.523809432983398,5.263157844543457,25,55,38.88888931274414,20,36.842105865478516,10,36.800331115722656,38654705664,0,21731590144,0
204,1771062630624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.82190704345703,68.66079711914063,67.765625,70.296875,69.4906234741211,71.75359344482422,71.39676666259766,67.66368865966797,69.51571655273438,67.64635467529297,67.30333709716797,68.37505340576172,15.000000953674316,5.263157844543457,0,4.761904716491699,5,0,0,9.523809432983398,35,19.047618865966797,42.85714340209961,35,38.095237731933594,0,36.800331115722656,38654705664,0,21724266496,0
200,1771062630829,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.82190704345703,68.66079711914063,67.765625,70.296875,69.4906234741211,71.75359344482422,71.39676666259766,67.66368865966797,69.51571655273438,67.64635467529297,67.30333709716797,68.37505340576172,45,33.333335876464844,9.523809432983398,5,9.523809432983398,0,19.047618865966797,15.789472579956055,35,35,40,42.105262756347656,31.57894515991211,14.285715103149414,36.800331115722656,38654705664,0,21851783168,0
204,1771062631029,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.82190704345703,68.66079711914063,67.765625,70.296875,69.4906234741211,71.75359344482422,71.39676666259766,67.66368865966797,69.51571655273438,67.64635467529297,67.30333709716797,68.37505340576172,31.57894515991211,15.000000953674316,0,5,0,0,15.000000953674316,14.285715103149414,30.000001907348633,36.842105865478516,38.095237731933594,47.619049072265625,52.38095474243164,21.052631378173828,38.858272552490234,38654705664,0,21851783168,0
201,1771062631234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.82190704345703,68.66079711914063,67.765625,70.296875,69.4906234741211,71.75359344482422,71.39676666259766,67.66368865966797,69.51571655273438,67.64635467529297,67.30333709716797,68.37505340576172,10,5,4.761904716491699,0,0,4.761904716491699,0,0,35,42.85714340209961,26.3157901763916,30.000001907348633,30.000001907348633,14.285715103149414,38.858272552490234,38654705664,0,21851783168,0
200,1771062631436,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.34481811523438,69.71981048583984,68,71.453125,69.18195343017578,70.79443359375,70.34795379638672,68.76519775390625,70.83039093017578,68.64450073242188,68.61741638183594,70.35066986083984,23.809524536132813,15.000000953674316,0,4.761904716491699,0,0,14.285715103149414,9.523809432983398,30.000001907348633,25,25,40,35,0,38.858272552490234,38654705664,0,21851783168,0
201,1771062631637,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.34481811523438,69.71981048583984,68,71.453125,69.18195343017578,70.79443359375,70.34795379638672,68.76519775390625,70.83039093017578,68.64450073242188,68.61741638183594,70.35066986083984,47.36842346191406,52.6315803527832,5.263157844543457,5.263157844543457,9.523809432983398,0,42.105262756347656,31.57894515991211,40,36.842105865478516,25,42.105262756347656,36.842105865478516,15.000000953674316,38.858272552490234,38654705664,0,22230925312,0
202,1771062631838,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.34481811523438,69.71981048583984,68,71.453125,69.18195343017578,70.79443359375,70.34795379638672,68.76519775390625,70.83039093017578,68.64450073242188,68.61741638183594,70.35066986083984,45,35,9.523809432983398,9.523809432983398,5,5,28.571430206298828,23.809524536132813,40,40,40,33.333335876464844,35,10,38.858272552490234,38654705664,0,22406070272,0
205,1771062632041,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.34481811523438,69.71981048583984,68,71.453125,69.18195343017578,70.79443359375,70.34795379638672,68.76519775390625,70.83039093017578,68.64450073242188,68.61741638183594,70.35066986083984,25,20,15.000000953674316,15.000000953674316,5.263157844543457,5,10,0,31.57894515991211,33.333335876464844,40,31.57894515991211,45,10,34.922813415527344,38654705664,0,22305734656,0
200,1771062632246,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.34481811523438,69.71981048583984,68,71.453125,69.18195343017578,70.79443359375,70.34795379638672,68.76519775390625,70.83039093017578,68.64450073242188,68.61741638183594,70.35066986083984,31.57894515991211,25,23.809524536132813,20,19.047618865966797,19.047618865966797,15.000000953674316,22.72727394104004,33.333335876464844,47.36842346191406,50,40,47.619049072265625,23.809524536132813,34.922813415527344,38654705664,0,22217474048,0
199,1771062632447,4,4,4,4,4,4,4,4,4,4,4,4,4,4,68.58783721923828,70.58629608154297,68.921875,73.0625,70.03631591796875,71.97724151611328,72.02532958984375,69.08075714111328,71.09172058105469,69.32581329345703,68.81822204589844,70.28572845458984,20,10.526315689086914,35,20,20,25,5.263157844543457,0,40,25,26.3157901763916,30.000001907348633,26.3157901763916,25,34.922813415527344,38654705664,0,22206201856,0
204,1771062632647,4,4,4,4,4,4,4,4,4,4,4,4,4,4,68.58783721923828,70.58629608154297,68.921875,73.0625,70.03631591796875,71.97724151611328,72.02532958984375,69.08075714111328,71.09172058105469,69.32581329345703,68.81822204589844,70.28572845458984,21.052631378173828,15.000000953674316,36.842105865478516,35,40,30.000001907348633,9.523809432983398,4.761904716491699,10,0,9.090909004211426,0,0,31.57894515991211,34.922813415527344,38654705664,0,22211592192,0
204,1771062632852,4,4,4,4,4,4,4,4,4,4,4,4,4,4,68.58783721923828,70.58629608154297,68.921875,73.0625,70.03631591796875,71.97724151611328,72.02532958984375,69.08075714111328,71.09172058105469,69.32581329345703,68.81822204589844,70.28572845458984,20,14.285715103149414,30.000001907348633,35,30.000001907348633,25,10.526315689086914,5,0,0,0,0,0,42.85714340209961,34.922813415527344,38654705664,0,22067019776,0
204,1771062633057,4,4,4,4,4,4,4,4,4,4,4,4,4,4,68.58783721923828,70.58629608154297,68.921875,73.0625,70.03631591796875,71.97724151611328,72.02532958984375,69.08075714111328,71.09172058105469,69.32581329345703,68.81822204589844,70.28572845458984,20,10,42.85714340209961,38.095237731933594,23.809524536132813,25,4.761904716491699,0,0,0,0,4.761904716491699,4.761904716491699,35,38.13795471191406,38654705664,0,21973565440,0
